PMAID,Zipcode,Name,Feature_ID,hours,Feature_Desc
240,98117,Carkeek Park,26,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Rental Facility
240,98117,Carkeek Park,27,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Restrooms
240,98117,Carkeek Park,40,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Restrooms (ADA Compliant)
240,98117,Carkeek Park,34,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",View
240,98117,Carkeek Park,36,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Waterfront
240,98117,Carkeek Park,9,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Weddings and Ceremonies
240,98117,Carkeek Park,37,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Woods
4167,98125,Cedar Park,33,4 a.m. - 11:30 p.m.,Paths
4167,98125,Cedar Park,42,4 a.m. - 11:30 p.m.,Paths (ADA Compliant)
4167,98125,Cedar Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
80,98116,Charles Richey Sr Viewpoint,7,4 a.m. - 11:30 p.m.,Boat Launch (Hand Carry)
80,98116,Charles Richey Sr Viewpoint,34,4 a.m. - 11:30 p.m.,View
80,98116,Charles Richey Sr Viewpoint,36,4 a.m. - 11:30 p.m.,Waterfront
421,98118,Chinook Beach Park,34,4 a.m. - 11:30 p.m.,View
421,98118,Chinook Beach Park,36,4 a.m. - 11:30 p.m.,Waterfront
595,98105,Christie Park,4,4 a.m. - 11:30 p.m.,Basketball (Half)
3985,98119,Coe Play Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
3922,98144,College Street Park,56,4 a.m. - 11:30 p.m.,Green Space
260,98116,College Street Ravine,56,4 a.m. - 11:30 p.m.,Green Space
405,98144,Colman Park,45,6 a.m. - 10 p.m.,Baseball/Softball
405,98144,Colman Park,33,6 a.m. - 10 p.m.,Paths
